username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thefloridakeys;2017-09-23 23:47;50;193;"We pause a minute during our recovery efforts to bring you Saturday's Florida Keys sunset from… https://www.instagram.com/p/BZZwr0TD_3o/";;;;"911738860207448064";https://twitter.com/thefloridakeys/status/911738860207448064
nbc6;2017-09-23 20:26;16;39;"In the midst of the Irma-related damage recovery, locals rescued a stranded dolphin in the Florida Keys: http://on.nbc6.com/o8IYLOl pic.twitter.com/7j3lVljzx4";;;;"911688220353720323";https://twitter.com/nbc6/status/911688220353720323
FOXLA;2017-09-23 18:00;12;37;"Dehydrated deer found in a #irma damaged Florida Keys home. http://bit.ly/2f9wohC pic.twitter.com/vYmefRt2qF";;;#irma;"911651387330760704";https://twitter.com/FOXLA/status/911651387330760704
EPA;2017-09-23 01:58;20;32;"Our response teams are in the Florida Keys with @USCG working to assess the damage from Hurricane #Irma.https://www.epa.gov/newsreleases/epa-irma-recovery-update-september-22-2017 …";;@USCG;#Irma;"911409283958476800";https://twitter.com/EPA/status/911409283958476800
DailyMail;2017-09-22 23:38;25;56;"Florida firefighter gives dehydrated deer water after finding it trapped in a Keys home following Hurricane Irma http://dailym.ai/2hoHNuN";;;;"911374252577878017";https://twitter.com/DailyMail/status/911374252577878017
davidlabrava;2017-09-22 18:59;20;110;"A LOT HAPPENING RIGHT NOW. SO MANY FOLKS IN REAL NEED. IF YOU CAN GIVE ANYTHING AT ALL PLEASE THINK ABOUT THE FLORIDA KEYS ALSO. HELP";;;;"911303888631848960";https://twitter.com/davidlabrava/status/911303888631848960
MartinFLSheriff;2017-09-22 13:31;8;66;"Still Standing. An image from the Florida Keys. pic.twitter.com/KEmBRXvj5M";;;;"911221452690640897";https://twitter.com/MartinFLSheriff/status/911221452690640897
FoxNews;2017-09-22 02:23;181;924;". @TimTebow, @marcorubio help with Hurricane Irma relief efforts in Florida Keys http://fxn.ws/2xjgmwc";;@TimTebow @marcorubio;;"911053222923644933";https://twitter.com/FoxNews/status/911053222923644933
ABC;2017-09-22 01:39;293;1265;"Tim Tebow helps distribute food to Hurricane Irma victims in the Florida Keys - and signs a few autographs. http://abcn.ws/2xVkpjg pic.twitter.com/mhCWkUuXP0";;;;"911042309726392321";https://twitter.com/ABC/status/911042309726392321
BreeOlson;2017-09-22 00:20;29;567;"My heart goes out to everyone in Key West and all of Florida and also Texas and anywhere else that was affected. This has just been horrible";;;;"911022315483353089";https://twitter.com/BreeOlson/status/911022315483353089
wjxt4;2017-09-22 00:00;10;39;"Tebow hands out food to Hurricane Irma victims in Florida Keys -- http://bit.ly/2wDxNrV?utm_medium=social&utm_source=twitter_wjxt4 …pic.twitter.com/OAIQBAFNdi";;;;"911017227696078848";https://twitter.com/wjxt4/status/911017227696078848
VegaMapvega;2017-09-21 23:11;21;131;"Thank you SE team for coming and helping store 6302 in the Florida Keys!!! @CharlesA_Wilson #IrmaHurricane2017pic.twitter.com/Vz3rD4Z1Ng";;@CharlesA_Wilson;#IrmaHurricane2017pic;"911004885847552008";https://twitter.com/VegaMapvega/status/911004885847552008
BillyCorben;2017-09-21 22:02;21;81;"The @DaviePolice know it's all about THE U! Sorry not sorry @TimTebow -- but thanks for helping #HurricaneIrma victims in The Florida Keys! pic.twitter.com/ZhFmFFXDJ0";;@DaviePolice @TimTebow;#HurricaneIrma;"910987748521234432";https://twitter.com/BillyCorben/status/910987748521234432
TimTebow;2017-09-21 20:13;1185;8437;"So grateful for opportunity to serve the resilient citizens of the Florida Keys alongside @marcorubio #Irma #IrmaRecovery #floridastrongpic.twitter.com/pYObOG7KPN";;@marcorubio;#Irma #IrmaRecovery #floridastrongpic;"910960249997336576";https://twitter.com/TimTebow/status/910960249997336576
FloridaKeys;2017-09-21 16:41;9;47;"We are excited to share some of the amazing progress that is happening here throughout the Florida Keys. Thanks... http://fb.me/8P2PXSmKg";;;;"910906813285113858";https://twitter.com/FloridaKeys/status/910906813285113858
serenityatsea;2017-09-21 14:33;36;38;"Trump's a fucking liar. He just said Florida's power is 100% back except for the Keys. I'm sitting here in SWFL without power #IrmaRecovery";;;#IrmaRecovery;"910874570428764161";https://twitter.com/serenityatsea/status/910874570428764161
SteveEveritt51;2017-09-21 11:55;12;43;"Contrary to some reports the sun continues to rise in the Florida Keys!!! #hailtotherecoverypic.twitter.com/XOqO45D4i8";;;#hailtotherecoverypic;"910834865242812419";https://twitter.com/SteveEveritt51/status/910834865242812419
wsvn;2017-09-23 22:17;13;20;"#UPDATE: Key West lifts curfew that remains in effect for rest of Florida Keys for security and safety reasons, officials say pic.twitter.com/A33v2LtVg6";;;#UPDATE;"911716273800794117";https://twitter.com/wsvn/status/911716273800794117
wsvn;2017-09-22 22:59;8;12;"Homestead car dealership @keithpiersoncc donates items to Florida Keys residents http://wsvn.com/news/local/homestead-car-dealership-donates-items-to-keys-residents/ …pic.twitter.com/PNF2xd80pu";;@keithpiersoncc;;"911364371883970562";https://twitter.com/wsvn/status/911364371883970562
BiscayneNPS;2017-09-22 20:40;8;20;"Boca Chita Key will reopen Saturday! We welcome visitors back to the island for the first time since Hurricane Irma hit Florida 12 days ago. pic.twitter.com/aONhvYKAit";;;;"911329269716013058";https://twitter.com/BiscayneNPS/status/911329269716013058
craigtimes;2017-09-22 18:49;7;16;"When #HurricaneIrma hit the#Florida Keys, Mom & Pop radio station kept everyone going w/ old tech http://wlrn.org/post/after-hurricane-irma-blew-away-power-century-old-technology-became-lifeline-locals-keys … via @keywestnan";;@keywestnan;#HurricaneIrma #Florida;"911301545848958978";https://twitter.com/craigtimes/status/911301545848958978
ncdhhs;2017-09-22 18:33;9;18;"The mobile hospital @ncdhhs sent to the Florida Keys has been set up to assist during #Irma recovery. http://bit.ly/2hg6OM6 pic.twitter.com/ea7EilTTkb";;@ncdhhs;#Irma;"911297334285361153";https://twitter.com/ncdhhs/status/911297334285361153
USGSLandsat;2017-09-22 15:18;18;11;"#Landsat captures how #Irma churned up sediment in the Florida Keys #HurricaneIrma http://bit.ly/2xXKJt8 pic.twitter.com/A4DcpyZzlu";;;#Landsat #Irma #HurricaneIrma;"911248466269102080";https://twitter.com/USGSLandsat/status/911248466269102080
FoxFriendsFirst;2017-09-22 11:37;7;33;"TEBOW TEAMS UP WITH RUBIO. The Florida natives heading to the Key to hand out meals to families hit by Hurricane Irma. pic.twitter.com/9N63Y8fYD4";;;;"911192764406145024";https://twitter.com/FoxFriendsFirst/status/911192764406145024
foxandfriends;2017-09-22 09:05;30;193;"Tebow, Sen. Rubio help with Hurricane Irma relief efforts in Florida Keys http://fxn.ws/2hnxuXY";;;;"911154408251170816";https://twitter.com/foxandfriends/status/911154408251170816
RunTheJuls;2017-09-22 03:48;2;16;"So freaking excited to start my course to obtain my key badge at Learn Sativa! The first cannabis college campus in the state of Florida. pic.twitter.com/eYy0WPG1JS";;;;"911074633402564618";https://twitter.com/RunTheJuls/status/911074633402564618
GMA;2017-09-22 02:00;47;270;"WATCH: @TimTebow helps distribute food to Hurricane #Irma victims in the Florida Keys - and signs a few autographs: http://abcn.ws/2xVkpjg pic.twitter.com/Y3OVHiSYtC";;@TimTebow;#Irma;"911047470146375681";https://twitter.com/GMA/status/911047470146375681
GRITMy2CentsXO;2017-09-22 01:28;8;13;"Earlier today, @TimTebow was spotted helping hand out food & ice at a distribution center in the Florida Keys with @marcorubio. Bravo pic.twitter.com/8RP2vpqSJY";;@TimTebow @marcorubio;;"911039586653978624";https://twitter.com/GRITMy2CentsXO/status/911039586653978624
AloisioLuna;2017-09-22 00:27;5;14;"Florida HR Ready Team. Proud UPSers Key West recovery team@FloridaUPSers pic.twitter.com/74ELzAMZSN";;@FloridaUPSers;;"911024059592388608";https://twitter.com/AloisioLuna/status/911024059592388608
WPLGLocal10;2017-09-21 23:49;6;20;"Tebow hands out food to Hurricane Irma victims in Florida Keys http://bit.ly/2xWp1Wg?utm_medium=social&utm_source=twitter_WPLGLocal10 …pic.twitter.com/0eVga5m2xR";;;;"911014469433688064";https://twitter.com/WPLGLocal10/status/911014469433688064
UnitedWayMiami;2017-09-21 20:54;3;13;"So grateful to #MissionUnitedMiami volunteers for organizing donations for Florida and The Keys. #Shoutout to @Walmart for making it happen!pic.twitter.com/BH9p2sMxjf";;@Walmart;#MissionUnitedMiami #Shoutout;"910970506836348928";https://twitter.com/UnitedWayMiami/status/910970506836348928
LakersCanes305;2017-09-21 17:15;1;17;"Tim Tebow helping distribute food and water in the Florida Keys.. I'm not supposed to like the dude He's a Gator... Genuine good man";;;;"910915322198315008";https://twitter.com/LakersCanes305/status/910915322198315008
yashar;2017-09-21 16:53;12;32;". @SpeakerRyan surveying the Florida Keys. pic.twitter.com/SKHKISAoQw";;@SpeakerRyan;;"910909980135608320";https://twitter.com/yashar/status/910909980135608320
USFWSDirector;2017-09-21 14:13;5;11;"Great to see the Key deer coming back after #Irma! #USFWS staff still working tirelessly to help recovery in Florida, Texas & the Caribbean. https://twitter.com/usfwssoutheast/status/910583653314396160 …";;;#Irma #USFWS;"910869688145543171";https://twitter.com/USFWSDirector/status/910869688145543171
steppychuk;2017-09-21 04:50;0;68;"@uf study abroad used a photo of me in cedar key FLORIDA for their "UF in Bahamas" flyer I DEMAND A FREE TRIP FOR THIS FALSE ADVERTISING";;@uf;;"910727951620157440";https://twitter.com/steppychuk/status/910727951620157440
curtis_knowles2;2017-09-21 00:58;9;35;"Shout out to Keys Energy, Florida Keys Aqueduct Authority, City workers, etc. for all the hard work";;;;"910669447748313088";https://twitter.com/curtis_knowles2/status/910669447748313088
JaxStrong;2017-09-21 00:43;22;60;"#USACE provides technical assistance to evaluate Critical Public Facilities in support of @fema in the Florida Keys #JaxStrong #KeysStrongpic.twitter.com/vU82jSAeZU";;@fema;#USACE #JaxStrong #KeysStrongpic;"910665655493562368";https://twitter.com/JaxStrong/status/910665655493562368
FlaPanthers;2017-09-20 23:43;29;83;"#FlaPanthers staff, @SoFlaFord, @CityofSunrise & more headed to the Florida Keys to distribute the supplies collected at BB&T Center. pic.twitter.com/WxWa7nFsxv";;@SoFlaFord @CityofSunrise;#FlaPanthers;"910650677432606721";https://twitter.com/FlaPanthers/status/910650677432606721
WLRN;2017-09-20 22:35;19;62;"Key West's dialysis center is now open! Find all Florida Keys Updates here: http://wlrn.us/2xsl9vQ pic.twitter.com/wJVEYG8Doz";;;;"910633422225321984";https://twitter.com/WLRN/status/910633422225321984
FlaPanthers;2017-09-20 17:49;20;57;"Following Hurricane Irma, the #FLAPanthers delivered 30,000 lbs of hurricane relief supplies to the Florida Keys. » http://bit.ly/Keys0920 pic.twitter.com/Ig0FVCNfbG";;;#FLAPanthers;"910561636989259776";https://twitter.com/FlaPanthers/status/910561636989259776
PBGardensFire;2017-09-20 16:21;20;44;"@PBGardensFire strike team returns from their Hurricane Irma deployment in the Florida Keys. Everyone is home safe and sound! #afterirmapic.twitter.com/vqYMPgQCwi";;@PBGardensFire;#afterirmapic;"910539318661349376";https://twitter.com/PBGardensFire/status/910539318661349376
USATODAY;2017-09-20 13:02;50;44;"Drone footage of the Florida Keys: It could be up to a month until cruise ships return to the area. https://usat.ly/2ycWQ1l pic.twitter.com/lKBIDUmHxQ";;;;"910489422172389378";https://twitter.com/USATODAY/status/910489422172389378
FlaPanthersCARE;2017-09-19 21:15;6;45;"Dropping off supplies in the Florida Keys with @soflaford!pic.twitter.com/IH1xWXDCGD";;@soflaford;;"910251103127789569";https://twitter.com/FlaPanthersCARE/status/910251103127789569
NPR;2017-09-19 19:15;47;42;"Florida Keys residents returning after Hurricane Irma face devastated homes, no power and a slow recovery. http://n.pr/2xcmSoN pic.twitter.com/zD9OdJFVWz";;;;"910220890054553600";https://twitter.com/NPR/status/910220890054553600
StanleyCPanther;2017-09-19 18:41;12;48;"When a Marine sees us carrying supplies in the Florida Keys & says "You guys are animals" someone responds "no, we're Panthers" @FlaPantherspic.twitter.com/eC9nzy0GeV";;@FlaPantherspic;;"910212219283091456";https://twitter.com/StanleyCPanther/status/910212219283091456
FOX13News;2017-09-19 17:03;38;124;"This dehydrated deer was found inside a damaged home in the Florida Keys. Firefighters fed it four bottles of water. http://www.fox13news.com/news/dehydrated-deer-found-in-damaged-florida-keys-home …pic.twitter.com/JiRs1RI5Rn";;;;"910187716100464640";https://twitter.com/FOX13News/status/910187716100464640
SenRickScott;2017-09-19 16:45;34;24;"Monroe County residents can visit http://www.keysrecovery.org for Hurricane Irma recovery efforts in the Florida Keys.";;;;"910182958765445120";https://twitter.com/SenRickScott/status/910182958765445120
GeorgeRichards;2017-09-19 16:15;9;22;"Dan Marino and Florida Panthers kick off touchdown drive of Hurricane Irma relief to the Florida Keys: http://hrld.us/2jFSQEf pic.twitter.com/r7nOldOd8U";;;;"910175637226360832";https://twitter.com/GeorgeRichards/status/910175637226360832
USMarineCorps;2017-09-19 15:30;68;250;"Marines bring their fighting spirit to the Florida Keys to protect and rebuild the community for victims of #HurricaneIrma.pic.twitter.com/cjPNwT7o95";;;#HurricaneIrma;"910164229076013062";https://twitter.com/USMarineCorps/status/910164229076013062
SalvationArmyUS;2017-09-19 13:44;62;130;"We are very thankful for our partners, @OpBBQRelief and @FedEx for flying in tasty BBQ to the communities here in the Florida Keys. #Irmapic.twitter.com/rr6BiEFiI2";;@OpBBQRelief @FedEx;#Irmapic;"910137630783934464";https://twitter.com/SalvationArmyUS/status/910137630783934464
FlaPanthersCARE;2017-09-19 12:58;9;37;"Loading in hurricane relief supplies @thebbtcenter before heading to the Florida Keys! pic.twitter.com/4HtZdF6uwL – at BB&T Center";;@thebbtcenter;;"910125874019696640";https://twitter.com/FlaPanthersCARE/status/910125874019696640
KBlank82;2017-09-19 11:25;11;31;"A nice sunrise this morning as we help on the Florida Keys. @MegTom_WX @spannpic.twitter.com/JsOZFTJSOp – at Channel 5 Bridge";;@MegTom_WX @spannpic;;"910102583376859136";https://twitter.com/KBlank82/status/910102583376859136
monroecounty;2017-09-19 00:08;16;25;"While #Monroe County is ending checkpoint at Florida City at 7:30 am Tues., Keys not ready for tourists yet.";;;#Monroe;"909932226544046080";https://twitter.com/monroecounty/status/909932226544046080
NatGeoPhotos;2017-09-18 21:08;56;106;"Exclusive photographs show the desolate Florida Keys and the aftermath of Hurricane Irma. http://on.natgeo.com/2haFS0r";;;;"909886765250510849";https://twitter.com/NatGeoPhotos/status/909886765250510849
projectnoah;2017-09-18 21:06;12;32;"This Key Deer, a subspecies of white-tailed deer that lives only in the Florida Keys, is our Spotting of the Week! https://buff.ly/2wCfE96 pic.twitter.com/oLREimMkva";;;;"909886359174811648";https://twitter.com/projectnoah/status/909886359174811648
DavidOvalle305;2017-09-18 13:52;22;33;"Strict building standards in the Florida Keys likely prevented complete obliteration of homes #HurricaneIrma http://www.miamiherald.com/news/weather/hurricane/article173408496.html … #MHpic.twitter.com/1UYDtMcIBm";;;#HurricaneIrma #MHpic;"909777273020125189";https://twitter.com/DavidOvalle305/status/909777273020125189
CNN;2017-09-18 11:23;40;119;"Residents of the Lower Florida Keys have been returning home, more than a week after fleeing Hurricane Irma http://cnn.it/2wq7JQS pic.twitter.com/IvHlcQIUH1";;;;"909739554336329728";https://twitter.com/CNN/status/909739554336329728
CBSNews;2017-09-18 11:13;27;48;"All of the Florida Keys are now open to residents & business owners for the first time since they were evacuated http://cbsn.ws/2f5fyk4 pic.twitter.com/lZcx166Kzt";;;;"909737123166801921";https://twitter.com/CBSNews/status/909737123166801921
CNN;2017-09-18 10:28;47;150;"How altruism and selflessness helped Florida Keys survive Irma's darkest days http://cnn.it/2haTOri pic.twitter.com/dCikeq4rpV";;;;"909725691821871104";https://twitter.com/CNN/status/909725691821871104
CGTNOfficial;2017-09-18 02:30;26;91;"Residents return to Florida Keys and their destroyed homes after #HurricaneIrma https://goo.gl/daGLjb pic.twitter.com/HfOhiuICBg";;;#HurricaneIrma;"909605405126311937";https://twitter.com/CGTNOfficial/status/909605405126311937
extremenature;2017-09-18 01:49;18;49;"(Video) https://www.instagram.com/p/BZKh4dEhpfB/ (Video) Hurricane Irma's western eyewall making landfall on the north coast of Key West, Florida. Video by… pic.twitter.com/85Em7SvMIV";;;;"909595272522682369";https://twitter.com/extremenature/status/909595272522682369
CBSNews;2017-09-18 00:03;34;83;"Residents of the southern Florida Keys will start to return home after Irma http://cbsn.ws/2xrrUxb pic.twitter.com/6OL0kjI7ZU";;;;"909568418726252548";https://twitter.com/CBSNews/status/909568418726252548
FoxNews;2017-09-17 23:26;90;285;"Florida Keys residents begin returning home after Hurricane Irma, @MattFinnFNC reports http://fxn.ws/2wmRCDF pic.twitter.com/dEZnTiSpP7";;@MattFinnFNC;;"909559263760089088";https://twitter.com/FoxNews/status/909559263760089088
mcsonews;2017-09-17 22:06;22;42;"Traffic flowing well in the Upper Keys. Remember, the Florida City roadblock closes to Lower & Middle Keys residents at 8 p.m. due to curfew";;;;"909538986431041536";https://twitter.com/mcsonews/status/909538986431041536
johnnetteb;2017-09-17 19:45;20;77;"Famous shrine dedicating to protecting #Florida #Keys from hurricanes survives #Irma unscathed. http://ht.ly/wqNP30f9wDD pic.twitter.com/F2kWTIYQ9X";;;#Florida #Keys #Irma;"909503512014458881";https://twitter.com/johnnetteb/status/909503512014458881
monroecounty;2017-09-17 19:12;35;41;"Two DMAT mobile hospitals are in open in the lower Keys: Marathon City Hall and at Florida Keys CC. https://www.facebook.com/MonroeCountyFLBOCC/posts/1605155589528944 …pic.twitter.com/rToGhGYvwA";;;;"909495222559748096";https://twitter.com/monroecounty/status/909495222559748096
City_of_KeyWest;2017-09-17 18:50;32;57;"Florida City checkpoint allowing Key West residents to return. The checkpoint will close to returning residents at 8pm Sunday & reopen 7 am";;;;"909489656366026754";https://twitter.com/City_of_KeyWest/status/909489656366026754
NatGeoPhotos;2017-09-17 17:14;71;136;"Exclusive photos show the eerily desolate Florida Keys and the aftermath of Hurricane Irma: http://on.natgeo.com/2xqS2YY";;;;"909465487867817986";https://twitter.com/NatGeoPhotos/status/909465487867817986
IN_Task_Force_1;2017-09-17 17:08;27;122;"INTF-1 members deployed to the Florida Keys are demobilizing today. #hurricaneirmapic.twitter.com/4MVWpgIdGL";;;#hurricaneirmapic;"909464064937603072";https://twitter.com/IN_Task_Force_1/status/909464064937603072
NBCNews;2017-09-17 17:00;32;42;"Officials tells returning Florida Keys residents they must be self-sustaining http://nbcnews.to/2fsZ2eq pic.twitter.com/xp4BQ9OzOd";;;;"909462035863363586";https://twitter.com/NBCNews/status/909462035863363586
Michael_Pruitt1;2017-09-17 16:22;7;117;"Homeward bound today! Best of luck to the people of the Florida Keys. Thank you to our PIO staff and USAR teams for all the good work! pic.twitter.com/P5Dy4NCxoY";;;;"909452628521836545";https://twitter.com/Michael_Pruitt1/status/909452628521836545
JohnMoralesNBC6;2017-09-17 14:53;22;37;"This will be controversial, but worth airing out (from @Forbes) "Don't Rebuild the Florida Keys" http://bit.ly/2f3Y4nX pic.twitter.com/VQuPqyljtg";;@Forbes;;"909430157084995584";https://twitter.com/JohnMoralesNBC6/status/909430157084995584
monroecounty;2017-09-17 14:15;67;73;"Florida City check point will close to ALL TRAFFIC at 8PM. Marathon curfew will be 10pm-6am. Lower Keys curfew dusk to dawn. #KeysRecoverypic.twitter.com/4TQldP0uhx";;;#KeysRecoverypic;"909420547448111104";https://twitter.com/monroecounty/status/909420547448111104
EJinAction;2017-09-17 12:38;11;22;"The Florida Keys are the canaries in the climate-change coalmine | Joanna Guthrie https://www.theguardian.com/commentisfree/2017/sep/15/florida-keys-canaries-climate-change-coalmine?CMP=share_btn_tw …";;;;"909396165308928000";https://twitter.com/EJinAction/status/909396165308928000
GMA;2017-09-17 12:10;77;210;"WATCH: Florida Keys reopening; people allowed to return home: http://abcn.ws/2f2W0wv @VictorOquendopic.twitter.com/g8422848Xk";;@VictorOquendopic;;"909388971406368768";https://twitter.com/GMA/status/909388971406368768
FoxNews;2017-09-17 12:05;297;1190;"Earlier this week citizens raised a flag at a distribution point in Key West, Florida in the aftermath of Hurricane Irma. pic.twitter.com/CwXDjfxqFI";;;;"909387786398179334";https://twitter.com/FoxNews/status/909387786398179334
skepticscience;2017-09-17 10:00;13;9;"The Florida Keys are still closed until further notice. On the far side of the blockade that inhabitants of the... http://fb.me/KUHLJdQO";;;;"909356280699002880";https://twitter.com/skepticscience/status/909356280699002880
wsvn;2017-09-17 06:12;12;16;"Monroe County sets up checkpoints across Florida Keys as residents, business owners return http://wsvn.com/news/local/monroe-county-sets-up-checkpoints-across-keys-as-residents-return/ …pic.twitter.com/juJHsCB9Wa";;;;"909299053632028672";https://twitter.com/wsvn/status/909299053632028672
SunSentinel;2017-09-17 04:30;16;15;"What happened to our favorite Florida Keys landmarks? http://sunsent.nl/2fc8rKs pic.twitter.com/bQfmj57suD";;;;"909273264907866112";https://twitter.com/SunSentinel/status/909273264907866112
CBSThisMorning;2017-09-17 02:36;13;12;"Residents of the southern Florida Keys will start to return home after Hurricane #Irma.http://cbsn.ws/2h9JQGp";;;#Irma;"909244614980325376";https://twitter.com/CBSThisMorning/status/909244614980325376
Reuters;2017-09-17 02:10;38;63;"More Florida Keys residents return home to survey Irma's destruction http://reut.rs/2xpKfLl pic.twitter.com/zRoxDlOH8b";;;;"909237991658393600";https://twitter.com/Reuters/status/909237991658393600
washingtonpost;2017-09-16 23:22;141;202;"“It’s not the storm — it’s the aftermath”: In Irma’s wake, searching for normal in the Florida Keys http://wapo.st/2fqOQTo";;;;"909195702491844608";https://twitter.com/washingtonpost/status/909195702491844608
DavidOvalle305;2017-09-16 23:12;35;78;"Battered but standing, many Florida Keys home spared wholesale obliteration thanks to strict building standards http://www.miamiherald.com/news/weather/hurricane/article173408496.html …";;;;"909193267690053632";https://twitter.com/DavidOvalle305/status/909193267690053632
Defenders;2017-09-16 23:00;54;78;"A tiny endangered deer lives only in the Florida Keys. Here's what we know about its fate: http://dfnd.us/2ycl0Kl via @washingtonpost";;@washingtonpost;;"909190247556222978";https://twitter.com/Defenders/status/909190247556222978
NWSKeyWest;2017-09-16 22:18;116;135;"Tomorrow Sun, Sep 17, all Florida Keys residents & business owners will be able to go back. For more info, visit http://www.keysrecovery.org/ https://twitter.com/monroecounty/status/909046194671902720 …";;;;"909179651196669953";https://twitter.com/NWSKeyWest/status/909179651196669953
markberman;2017-09-16 22:13;2;19;"If Florida/Tennessee was a doctor it would be the doctor who sews you up with car keys and a stapler inside";;;;"909178359510372352";https://twitter.com/markberman/status/909178359510372352
AKADonaldTrump;2017-09-16 21:36;6;14;"DAILY REMINDER Millions of people are still without power in Florida. Not just Key West. Its been a week now.";;;;"909169155819044864";https://twitter.com/AKADonaldTrump/status/909169155819044864
GoFasRacing32;2017-09-16 21:33;8;31;"Thanks to a good friend and marketing help @DavidMarrr for his service as he helps those affected by #HurricaneIrma in the Florida Keys! pic.twitter.com/ABYfcNc4by";;@DavidMarrr;#HurricaneIrma;"909168303448510472";https://twitter.com/GoFasRacing32/status/909168303448510472
WPLGLocal10;2017-09-16 20:05;14;34;"Attention animal lovers! Today's Adopt a Pet includes Florida Keys' natives in need of a home after Hurricane Irma http://bit.ly/2w0OmJT?utm_medium=social&utm_source=twitter_WPLGLocal10 …pic.twitter.com/BXPQ9zPkD6";;;;"909146146458800130";https://twitter.com/WPLGLocal10/status/909146146458800130
WinterDolphin;2017-09-16 20:01;13;60;"Today our team flew down a plane full of supplies for animals & staff at marine animal facilities throughout the Florida Keys. #CMAinspirespic.twitter.com/6iwQxneOHu";;;#CMAinspirespic;"909145149573300231";https://twitter.com/WinterDolphin/status/909145149573300231
laurakbrehm;2017-09-16 19:44;4;38;"I can't believe that 2 months ago I was jet skiing around the Florida keys and hanging out on… https://www.instagram.com/p/BZHTRcIAtrh/";;;;"909140910083993600";https://twitter.com/laurakbrehm/status/909140910083993600
MiamiDadeCounty;2017-09-16 19:20;12;27;". @HealthyFla has lifted the precautionary swimming advisory for Oleta State Park, Key Biscayne Beach Club & Cape Florida State Park.";;@HealthyFla;;"909134810198798336";https://twitter.com/MiamiDadeCounty/status/909134810198798336
CNN;2017-09-16 18:50;73;147;"The Florida Keys reopen Sunday after being hit hard by Irma. We're live there with @MartinSavidge. Watch on Facebook http://cnn.it/2wkTkFA pic.twitter.com/YfKeq2lHCj";;@MartinSavidge;;"909127378231808001";https://twitter.com/CNN/status/909127378231808001
cnnbrk;2017-09-16 17:16;250;519;"Florida Keys residents are being allowed to return home to assess damage from Hurricane Irma http://cnn.it/2f2zwMo pic.twitter.com/2yGvtQxIgZ";;;;"909103800157433856";https://twitter.com/cnnbrk/status/909103800157433856
CNN;2017-09-16 16:20;99;259;"Life is slowly beginning to come back in the Florida Keys, a week after Irma made landfall http://cnn.it/2y5dcsY http://snpy.tv/2wxqPjj";;;;"909089535199297536";https://twitter.com/CNN/status/909089535199297536
ABC;2017-09-16 14:10;46;81;"NEW: Portions of Florida Keys reopen to residents after devastation from Hurricane #Irma http://abcn.ws/2x6WhXO pic.twitter.com/IXYRYT8DSI";;;#Irma;"909056908459470848";https://twitter.com/ABC/status/909056908459470848
CBSNews;2017-09-16 13:17;53;89;"The wait will soon be over for evacuated residents of the Florida Keys. Officials are expected to announce a comprehensive re-entry plan: pic.twitter.com/yHZlcCmBMA";;;;"909043598011887616";https://twitter.com/CBSNews/status/909043598011887616
SecretsBedard;2017-09-16 13:12;77;84;"ALL Florida Keys open by Sunday, but official warns it's "primitive" and "Anyone coming back must be totally self-sufficient." pic.twitter.com/JmOtmtEMTb";;;;"909042255519977473";https://twitter.com/SecretsBedard/status/909042255519977473
gcarabi;2017-09-16 08:20;27;48;"Paul #Rudolph | Deering Residence 1956-1958, Casey Key #Florida. #100x100masterhouses [from http://ofhouses.tumblr.com/post/86116899575/051-paul-rudolph-frederick-deering-house …]pic.twitter.com/XsQGKx4QMq";;;#Rudolph #Florida #100x100masterhouses;"908968737889509376";https://twitter.com/gcarabi/status/908968737889509376
PaulEDawson;2017-09-16 06:46;77;58;"The Florida Keys are the canaries in the #climatechange coalmine. #ActOnClimate #KeepItInTheGroundhttps://www.theguardian.com/commentisfree/2017/sep/15/florida-keys-canaries-climate-change-coalmine?CMP=share_btn_tw …";;;#climatechange #ActOnClimate #KeepItInTheGroundhttps;"908945045113524224";https://twitter.com/PaulEDawson/status/908945045113524224
CNN;2017-09-16 03:31;133;200;"Florida Keys residents trickle back to warning of new crisis: no fuel, power, running water and other basic services http://cnn.it/2xG5fOT pic.twitter.com/88UAmCLB23";;;;"908895981755871232";https://twitter.com/CNN/status/908895981755871232
ZLabe;2017-09-16 02:45;430;1057;"How can you not find Earth science fascinating? Eddies, sediment, sand, etc from Hurricane Irma in the Florida Keys [Sentinel-2, 13 Sep '17] pic.twitter.com/wu3TxXDGbs";;;;"908884518626406401";https://twitter.com/ZLabe/status/908884518626406401
Balas_Wolverine;2017-09-16 02:01;30;47;"Steve Everitt asking for help for the devastated Keys: Michigan Football Fans for Florida https://www.gofundme.com/michigan-football-fans-for-florida?pc=tw_dn_cpgntopnavlarge_r&rcid=r01-150552724335-3d461038326d4088 …";;;;"908873372687355904";https://twitter.com/Balas_Wolverine/status/908873372687355904
MillerStrib;2017-09-16 00:55;35;28;"Doug Mientkiewicz, cleaning up Irma debris in Florida Keys, informed by Twins he's been fired as Ft. Myers manager. http://strib.mn/2h8zN0S";;;;"908856769836982273";https://twitter.com/MillerStrib/status/908856769836982273
realBigBalls;2017-09-15 22:38;22;67;"If u don't live in the Florida Keys year round. Your "2nd" property should be the last rebuilt. If u have somewhere else to go, go there";;;;"908822414749872128";https://twitter.com/realBigBalls/status/908822414749872128
